algorithm,seed,scenario,power_model,pue_model,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,avg_dc_util,avg_active_hosts,sla_violation_rate,sla_violations_abs
SpreadFit,3,high,linear,linear,38,0,3619.692195007243,2208.027657882203,1411.6645371250409,1.6833302602353106,0.19444956627448204,3.216666666666667,0.05,3
SpreadFit,4,high,linear,linear,30,0,2784.496094113352,1652.8029295682916,1131.6931645450602,1.7163552300479676,0.13940794992005406,2.5,0.0,0
SpreadFit,5,high,linear,linear,45,0,4844.236067690624,3044.489741118794,1799.7463265718316,1.6283900287645785,0.2860166187257025,4.166666666666667,0.5,30
SpreadFit,6,high,linear,linear,39,0,4515.18345343674,2801.59175578643,1713.5916976503108,1.6513786938015074,0.24770217699748726,4.066666666666666,0.45,27
SpreadFit,7,high,linear,linear,37,0,3602.1113425555886,2174.2994714645215,1427.8118710910665,1.685077836503942,0.1915369391600967,3.1666666666666665,0.2,12
SpreadFit,8,high,linear,linear,28,0,3208.6171970959995,1902.2673483194537,1306.3498487765446,1.7033036279645053,0.16116062005915802,2.8666666666666667,0.0,0
SpreadFit,9,high,linear,linear,34,0,3069.631774427338,1839.639366032563,1229.9924083947749,1.704262292663049,0.15956284556158556,2.716666666666667,0.016666666666666666,1
Random,0,high,linear,linear,33,0,3215.875833163678,1946.27638196109,1269.5994512025893,1.6950804020043233,0.17486599665946115,2.783333333333333,0.11666666666666667,7
Random,1,high,linear,linear,42,0,4482.320051494627,2782.6959180527633,1699.6241334418635,1.6494782313274712,0.2508696144542153,3.966666666666667,0.08333333333333333,5
Random,2,high,linear,linear,43,0,2671.614537674125,1586.4850122909338,1085.1295253831913,1.7137238875232297,0.14379352079461755,2.25,0.15,9
Random,3,high,linear,linear,38,0,3490.710882077655,2130.027657882202,1360.6832241954526,1.6833302602353106,0.19444956627448204,3.0,0.08333333333333333,5
Random,4,high,linear,linear,30,0,2712.278304789952,1610.8029295682916,1101.4753752216602,1.7163552300479676,0.13940794992005406,2.3833333333333333,0.0,0
Random,5,high,linear,linear,45,0,4816.648930655081,3026.489741118794,1790.159189536288,1.6283900287645785,0.2860166187257025,4.116666666666666,0.5,30
Random,6,high,linear,linear,39,0,4307.388592592697,2669.59175578643,1637.7968368062657,1.6513786938015074,0.24770217699748726,3.7,0.48333333333333334,29
Random,7,high,linear,linear,37,0,3563.2918647714037,2150.2994714645215,1412.9923933068824,1.685077836503942,0.1915369391600967,3.1,0.21666666666666667,13
Random,8,high,linear,linear,28,0,3178.19045308486,1884.2673483194535,1293.9231047654055,1.7033036279645053,0.16116062005915802,2.816666666666667,0.0,0
Random,9,high,linear,linear,34,0,3008.117546514655,1803.639366032563,1204.4781804820923,1.704262292663049,0.15956284556158556,2.6166666666666667,0.05,3
PABFD,0,low,quadratic,linear,33,0,3639.796386247362,2265.1365029121425,1374.6598833352214,1.6516080145273802,0.24731997578770035,3.5,0.38333333333333336,23
PABFD,1,low,quadratic,linear,42,0,4939.753071393764,3165.30033528706,1774.452736106703,1.590573044618467,0.3490449256358889,4.75,0.5666666666666667,34
PABFD,2,low,quadratic,linear,43,0,2989.927752663604,1814.0092964823232,1175.9184561812813,1.6825530682379681,0.19574488627005374,2.7666666666666666,0.4,24
PABFD,3,low,quadratic,linear,38,0,4114.586228705494,2592.3011942818134,1522.2850344236792,1.6285509203004893,0.2857484661658517,3.9166666666666665,0.21666666666666667,13
PABFD,4,low,quadratic,linear,30,0,3097.4097047537525,1879.2514065389578,1218.1582982147938,1.6781042434357467,0.20315959427375485,3.0166666666666666,0.08333333333333333,5
PABFD,5,low,quadratic,linear,45,1,5591.2663066083815,3656.3578207687274,1934.9084858396523,1.5598300959006752,0.4002831734988744,5.533333333333333,0.7166666666666667,43
PABFD,6,low,quadratic,linear,39,0,5115.304803230381,3312.6568046296084,1802.647998600776,1.5825434366137556,0.3624276056437404,4.95,0.65,39
PABFD,7,low,quadratic,linear,37,0,3936.1898099196233,2447.2610496592283,1488.928760260395,1.6393708903020852,0.2677151828298579,3.65,0.4666666666666667,28
PABFD,8,low,quadratic,linear,28,0,3479.1541950775577,2117.280487269686,1361.8737078078736,1.6621627675288724,0.22972872078521298,3.3,0.18333333333333332,11
PABFD,9,low,quadratic,linear,34,0,3234.5713028045157,1981.9649351778287,1252.6063676266863,1.6694056648223243,0.21765722529612647,3.1166666666666667,0.2,12
D_PABFD_NL,0,low,quadratic,linear,33,0,3622.574910436017,2255.121980420514,1367.4529300155039,1.6516080145273802,0.24731997578770035,3.5833333333333335,0.26666666666666666,16
D_PABFD_NL,1,low,quadratic,linear,42,0,4947.488044089906,3170.109614734607,1777.3784293552978,1.590573044618467,0.3490449256358889,4.816666666666666,0.5666666666666667,34
D_PABFD_NL,2,low,quadratic,linear,43,0,2989.510208606905,1813.7527887670099,1175.757419839895,1.6825530682379681,0.19574488627005374,2.7666666666666666,0.38333333333333336,23
D_PABFD_NL,3,low,quadratic,linear,38,0,4137.476716333454,2606.756322260892,1530.72039407256,1.6285509203004893,0.2857484661658517,4.083333333333333,0.08333333333333333,5
D_PABFD_NL,4,low,quadratic,linear,30,0,3050.97893894835,1851.205041775898,1199.7738971724507,1.6781042434357467,0.20315959427375485,2.8666666666666667,0.08333333333333333,5
D_PABFD_NL,5,low,quadratic,linear,45,1,5544.382256962546,3626.0591322043347,1918.3231247582116,1.5598300959006752,0.4002831734988744,5.45,0.7166666666666667,43
D_PABFD_NL,6,low,quadratic,linear,39,0,5059.6882709233805,3277.0262196866324,1782.6620512367483,1.5825434366137556,0.3624276056437404,4.933333333333334,0.7,42
D_PABFD_NL,7,low,quadratic,linear,37,0,3928.1273938595823,2443.4779421514236,1484.6494517081587,1.6393708903020852,0.2677151828298579,3.6666666666666665,0.4,24
D_PABFD_NL,8,low,quadratic,linear,28,0,3513.319876355576,2137.8155657597686,1375.5043105958086,1.6621627675288724,0.22972872078521298,3.5,0.06666666666666667,4
D_PABFD_NL,9,low,quadratic,linear,34,0,3239.2286992494564,1985.0760897445195,1254.1526095049358,1.6694056648223243,0.21765722529612647,3.183333333333333,0.03333333333333333,2
SpreadFit,0,low,quadratic,linear,33,0,3740.985421752918,2327.8921526195936,1413.0932691333242,1.6516080145273802,0.24731997578770035,4.0,0.13333333333333333,8
SpreadFit,1,low,quadratic,linear,42,0,5130.145781925369,3286.7543861037902,1843.3913958215762,1.590573044618467,0.3490449256358889,5.716666666666667,0.11666666666666667,7
SpreadFit,2,low,quadratic,linear,43,0,3118.3182245814164,1891.0065902514255,1227.3116343299912,1.6825530682379681,0.19574488627005374,3.2333333333333334,0.21666666666666667,13
SpreadFit,3,low,quadratic,linear,38,0,4321.699640285632,2721.4879599671594,1600.2116803184708,1.6285509203004893,0.2857484661658517,4.7,0.06666666666666667,4
SpreadFit,4,low,quadratic,linear,30,0,3279.545433717872,1989.8470579576874,1289.6983757601859,1.6781042434357467,0.20315959427375485,3.65,0.0,0
SpreadFit,5,low,quadratic,linear,45,1,5680.434496950868,3713.5974770156045,1966.837019935263,1.5598300959006752,0.4002831734988744,5.833333333333333,0.7166666666666667,43
SpreadFit,6,low,quadratic,linear,39,0,5379.72001816016,3484.239768244097,1895.4802499160667,1.5825434366137556,0.3624276056437404,5.933333333333334,0.65,39
SpreadFit,7,low,quadratic,linear,37,0,4189.7995999768755,2604.4685195667594,1585.3310804101147,1.6393708903020852,0.2677151828298579,4.466666666666667,0.2833333333333333,17
SpreadFit,8,low,quadratic,linear,28,0,3694.693994631812,2247.9840150891637,1446.7099795426507,1.6621627675288724,0.22972872078521298,4.083333333333333,0.0,0
SpreadFit,9,low,quadratic,linear,34,0,3421.1011956425214,2093.924243130333,1327.176952512189,1.6694056648223243,0.21765722529612647,3.75,0.016666666666666666,1
Random,0,low,quadratic,linear,33,0,3722.6559873372867,2316.585850139605,1406.0701371976827,1.6516080145273802,0.24731997578770035,3.95,0.13333333333333333,8
Random,1,low,quadratic,linear,42,0,5087.35555318149,3259.036994890028,1828.3185582914602,1.590573044618467,0.3490449256358889,5.5,0.25,15
Random,2,low,quadratic,linear,43,0,3030.537711992076,1837.7034538038486,1192.8342581882273,1.6825530682379681,0.19574488627005374,2.9,0.3333333333333333,20
Random,3,low,quadratic,linear,38,0,4232.193507042587,2664.8741453549037,1567.319361687682,1.6285509203004893,0.2857484661658517,4.366666666666666,0.15,9
Random,4,low,quadratic,linear,30,0,3216.929175227581,1951.3225775734857,1265.6065976540963,1.6781042434357467,0.20315959427375485,3.5,0.0,0
Random,5,low,quadratic,linear,45,1,5588.8376130519155,3654.4766196716214,1934.3609933802943,1.5598300959006752,0.4002831734988744,5.566666666666666,0.7166666666666667,43
Random,6,low,quadratic,linear,39,0,5224.185679987978,3383.420329306932,1840.765350681044,1.5825434366137556,0.3624276056437404,5.35,0.7,42
Random,7,low,quadratic,linear,37,0,4098.154929059336,2547.49726586963,1550.657663189704,1.6393708903020852,0.2677151828298579,4.233333333333333,0.2833333333333333,17
Random,8,low,quadratic,linear,28,0,3664.2332605911542,2229.4416123416395,1434.7916482495164,1.6621627675288724,0.22972872078521298,3.9833333333333334,0.016666666666666666,1
Random,9,low,quadratic,linear,34,0,3349.2475397293124,2051.2146816021113,1298.032858127201,1.6694056648223243,0.21765722529612647,3.55,0.08333333333333333,5
PABFD,0,medium,quadratic,linear,33,0,3231.8226416140346,1986.277917554098,1245.5447240599392,1.6705551314390932,0.21574144760151184,3.1333333333333333,0.31666666666666665,19
PABFD,1,medium,quadratic,linear,42,0,4414.5688865410775,2793.8001205882624,1620.7687659528171,1.6157088873561194,0.3071518544064684,4.25,0.5166666666666667,31
PABFD,2,medium,quadratic,linear,43,0,2669.356825847186,1605.531100684113,1063.8257251630725,1.696197939531465,0.17300343411422586,2.45,0.36666666666666664,22
PABFD,3,medium,quadratic,linear,38,0,3590.194291820312,2229.7779250733233,1360.4163667469904,1.653487555895525,0.24418740684079107,3.466666666666667,0.15,9
PABFD,4,medium,quadratic,linear,30,0,2727.9553322378883,1637.948807577726,1090.006524660161,1.6930657835985796,0.17822369400236768,2.6,0.06666666666666667,4
PABFD,5,medium,quadratic,linear,45,1,5061.765653436785,3265.282224752456,1796.4834286843281,1.5844963821261315,0.3591726964564473,4.933333333333334,0.65,39
PABFD,6,medium,quadratic,linear,39,0,4498.960349052265,2859.843194674362,1639.1171543779044,1.6117933727828593,0.31367771202856737,4.266666666666667,0.5666666666666667,34
