algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
PABFD_PUE12,7,high,37,0,3283.406426737089,1982.2994714645217,1301.106955272568,1.685077836503942,1.5170599901271697,1.7761950068430052,2.6333333333333333,0.45,27,0
PABFD_PUE12,8,high,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,1.6168811867687298,1.8,2.4833333333333334,0.08333333333333333,5,0
PABFD_PUE12,9,high,34,0,2827.6710056102247,1695.639366032563,1132.0316395776624,1.704262292663049,1.5260116112473547,1.8,2.316666666666667,0.13333333333333333,8,0
FFD,0,high,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,1.5688162834197266,1.8,2.55,0.26666666666666666,16,0
FFD,1,high,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,1.4753008506492868,1.7772712209120998,3.5166666666666666,0.45,27,0
FFD,2,high,43,0,2570.50815957761,1526.4850122909338,1044.023147286675,1.7137238875232297,1.5829272120050069,1.8,2.0833333333333335,0.26666666666666666,16,0
FFD,3,high,38,0,3392.265946571906,2070.0276578822027,1322.2382886897055,1.6833302602353106,1.4548420731285725,1.8,2.8333333333333335,0.1,6,0
FFD,4,high,30,0,2532.459108285645,1502.8029295682916,1029.6561787173528,1.7163552300479676,1.5946160286466007,1.8,2.0833333333333335,0.03333333333333333,2,0
FFD,5,high,45,0,4694.588229109392,2954.489741118794,1740.0984879905984,1.6283900287645785,1.4869360241772602,1.7675275176430862,3.9166666666666665,0.5,30,0
FFD,6,high,39,0,4119.188021967365,2555.59175578643,1563.5962661809315,1.6513786938015074,1.516327819675994,1.8,3.3833333333333333,0.48333333333333334,29,0
FFD,7,high,37,0,3283.406426737089,1982.2994714645217,1301.106955272568,1.685077836503942,1.5170599901271697,1.7761950068430052,2.6333333333333333,0.45,27,0
FFD,8,high,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,1.6168811867687298,1.8,2.4833333333333334,0.08333333333333333,5,0
FFD,9,high,34,0,2827.6710056102247,1695.639366032563,1132.0316395776624,1.704262292663049,1.5260116112473547,1.8,2.316666666666667,0.13333333333333333,8,0
Random,0,high,33,0,3215.875833163678,1946.27638196109,1269.5994512025893,1.6950804020043233,1.5688162834197266,1.8,2.783333333333333,0.11666666666666667,7,0
Random,1,high,42,0,4482.320051494627,2782.6959180527633,1699.6241334418635,1.6494782313274712,1.4753008506492868,1.7772712209120998,3.966666666666667,0.08333333333333333,5,0
Random,2,high,43,0,2671.614537674125,1586.4850122909338,1085.1295253831913,1.7137238875232297,1.5829272120050069,1.8,2.25,0.15,9,0
Random,3,high,38,0,3490.710882077655,2130.027657882202,1360.6832241954526,1.6833302602353106,1.4548420731285725,1.8,3.0,0.08333333333333333,5,0
Random,4,high,30,0,2712.278304789952,1610.8029295682916,1101.4753752216602,1.7163552300479676,1.5946160286466007,1.8,2.3833333333333333,0.0,0,0
Random,5,high,45,0,4816.648930655081,3026.489741118794,1790.1591895362878,1.6283900287645785,1.4869360241772602,1.7675275176430862,4.116666666666666,0.5,30,0
Random,6,high,39,0,4307.388592592697,2669.59175578643,1637.7968368062657,1.6513786938015074,1.516327819675994,1.8,3.7,0.48333333333333334,29,0
