seed,scenario,algorithm,t_lookahead,p_accuracy,total_energy_j,energy_kwh,sla_violation_rate,total_migrations,total_vms,idle_time_saved_s,idle_energy_saved_j
1,low,P_PABFD_EWA,150,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_AR3,150,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_EWA,150,0.75,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,150,0.75,3341835.8546388405,0.928287737399678,0.035,4,37,600.0,60000.0
1,low,P_PABFD_EWA,150,0.9,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,150,0.9,3341835.8546388405,0.928287737399678,0.035,5,37,750.0,75000.0
1,low,P_PABFD_EWA,300,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_AR3,300,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_EWA,300,0.75,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,300,0.75,3341835.8546388405,0.928287737399678,0.035,4,37,600.0,60000.0
1,low,P_PABFD_EWA,300,0.9,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,300,0.9,3341835.8546388405,0.928287737399678,0.035,5,37,750.0,75000.0
1,low,P_PABFD_EWA,600,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_AR3,600,0.5,3341835.8546388405,0.928287737399678,0.035,2,37,300.0,30000.0
1,low,P_PABFD_EWA,600,0.75,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,600,0.75,3341835.8546388405,0.928287737399678,0.035,4,37,600.0,60000.0
1,low,P_PABFD_EWA,600,0.9,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,600,0.9,3341835.8546388405,0.928287737399678,0.035,5,37,750.0,75000.0
1,medium,P_PABFD_EWA,150,0.5,3297787.2341623083,0.91605200948953,0.03333333333333333,1,37,150.0,15000.0
1,medium,P_PABFD_AR3,150,0.5,3297787.2341623083,0.91605200948953,0.03333333333333333,0,37,0.0,0.0
1,medium,P_PABFD_EWA,150,0.75,3297787.2341623083,0.91605200948953,0.03333333333333333,3,37,450.0,45000.0
1,medium,P_PABFD_AR3,150,0.75,3297787.2341623083,0.91605200948953,0.03333333333333333,2,37,300.0,30000.0
1,medium,P_PABFD_EWA,150,0.9,3297787.2341623083,0.91605200948953,0.03333333333333333,5,37,750.0,75000.0
1,medium,P_PABFD_AR3,150,0.9,3297787.2341623083,0.91605200948953,0.03333333333333333,3,37,450.0,45000.0
1,medium,P_PABFD_EWA,300,0.5,3297787.2341623083,0.91605200948953,0.03333333333333333,1,37,150.0,15000.0
1,medium,P_PABFD_AR3,300,0.5,3297787.2341623083,0.91605200948953,0.03333333333333333,0,37,0.0,0.0
1,medium,P_PABFD_EWA,300,0.75,3297787.2341623083,0.91605200948953,0.03333333333333333,3,37,450.0,45000.0
1,medium,P_PABFD_AR3,300,0.75,3297787.2341623083,0.91605200948953,0.03333333333333333,2,37,300.0,30000.0
1,medium,P_PABFD_EWA,300,0.9,3297787.2341623083,0.91605200948953,0.03333333333333333,5,37,750.0,75000.0
1,medium,P_PABFD_AR3,300,0.9,3297787.2341623083,0.91605200948953,0.03333333333333333,3,37,450.0,45000.0
